Dataset,Model,Predict Function of Model,Metric Function,Mean,Std,N
yeast,BR_LogisticRegression,Marginal Scores,Coverage Score,0.5003377999999999,0.0013940771858114342,5
yeast,BR_LogisticRegression,Marginal Scores,One-Error Score,0.763837,0.00243556102366574,5
yeast,BR_LogisticRegression,Marginal Scores,Ranking Loss Score,0.8244776,0.0008157504520378688,5
yeast,BR_LogisticRegression,Predict Fmeasure,Fmeasure Score,0.6407572,0.0008927243135481508,5
yeast,BR_LogisticRegression,Predict Fmeasure,Hamming Accuracy,0.7574168,0.0006769015438008748,5
yeast,BR_LogisticRegression,Predict Fmeasure,Informedness,0.5960688,0.0021612812635101236,5
yeast,BR_LogisticRegression,Predict Fmeasure,Macro F1,0.45493560000000005,0.0027750924849453272,5
yeast,BR_LogisticRegression,Predict Fmeasure,Markedness,0.7355308,0.0007172609009280016,5
yeast,BR_LogisticRegression,Predict Fmeasure,Micro F1,0.6484882,0.000766449737425716,5
yeast,BR_LogisticRegression,Predict Fmeasure,Negative Predictive Value,0.8703822000000001,0.0004949092846168766,5
yeast,BR_LogisticRegression,Predict Fmeasure,Precision Score,0.6006786,0.0012838645956642343,5
yeast,BR_LogisticRegression,Predict Fmeasure,Recall Score,0.748958,0.0015744135416083844,5
yeast,BR_LogisticRegression,Predict Fmeasure,Subset Accuracy,0.1133608,0.002721536643148497,5
yeast,BR_LogisticRegression,Predict Hamming,Fmeasure Score,0.6068562,0.0011126563710328109,5
yeast,BR_LogisticRegression,Predict Hamming,Hamming Accuracy,0.7946322,0.0010481763687471655,5
yeast,BR_LogisticRegression,Predict Hamming,Informedness,0.5831506,0.0026171803147662254,5
yeast,BR_LogisticRegression,Predict Hamming,Macro F1,0.3859972,0.0015227035824480078,5
yeast,BR_LogisticRegression,Predict Hamming,Markedness,0.7616759999999999,0.0008765118367711997,5
yeast,BR_LogisticRegression,Predict Hamming,Micro F1,0.6317134,0.0014597159997753043,5
yeast,BR_LogisticRegression,Predict Hamming,Negative Predictive Value,0.8332172,0.0005308367922441315,5
yeast,BR_LogisticRegression,Predict Hamming,Precision Score,0.6901364,0.0013498691788466058,5
yeast,BR_LogisticRegression,Predict Hamming,Recall Score,0.588218,0.0009721944249994336,5
yeast,BR_LogisticRegression,Predict Hamming,Subset Accuracy,0.139761,0.004604040562375631,5
yeast,BR_LogisticRegression,Predict Informedness,Fmeasure Score,0.6400140000000001,0.0012830921634862937,5
yeast,BR_LogisticRegression,Predict Informedness,Hamming Accuracy,0.7617388,0.000833119859324,5
yeast,BR_LogisticRegression,Predict Informedness,Informedness,0.5932706000000001,0.00286395754158472,5
yeast,BR_LogisticRegression,Predict Informedness,Macro F1,0.44734740000000006,0.0025498022080153652,5
yeast,BR_LogisticRegression,Predict Informedness,Markedness,0.7350426,0.0010772440763355238,5
yeast,BR_LogisticRegression,Predict Informedness,Micro F1,0.6497452,0.0009203478690147434,5
yeast,BR_LogisticRegression,Predict Informedness,Negative Predictive Value,0.868059,0.00048212498379570566,5
yeast,BR_LogisticRegression,Predict Informedness,Precision Score,0.6020252,0.0018063579933113704,5
yeast,BR_LogisticRegression,Predict Informedness,Recall Score,0.7405982,0.0014760815356883103,5
yeast,BR_LogisticRegression,Predict Informedness,Subset Accuracy,0.1041784,0.003873580294766074,5
yeast,BR_LogisticRegression,Predict Markedness,Fmeasure Score,0.5416478,0.0016110689619007524,5
yeast,BR_LogisticRegression,Predict Markedness,Hamming Accuracy,0.7797872,0.0006869371878126587,5
yeast,BR_LogisticRegression,Predict Markedness,Informedness,0.5658642,0.0014767092469406462,5
yeast,BR_LogisticRegression,Predict Markedness,Macro F1,0.3384298,0.0030898734116465002,5
yeast,BR_LogisticRegression,Predict Markedness,Markedness,0.7705692,0.0016276624957281085,5
yeast,BR_LogisticRegression,Predict Markedness,Micro F1,0.5699822,0.0014852512245408084,5
yeast,BR_LogisticRegression,Predict Markedness,Negative Predictive Value,0.8094348,0.0008161585017629897,5
yeast,BR_LogisticRegression,Predict Markedness,Precision Score,0.7317042,0.003127990121467795,5
yeast,BR_LogisticRegression,Predict Markedness,Recall Score,0.490244,0.0021424533833901784,5
yeast,BR_LogisticRegression,Predict Markedness,Subset Accuracy,0.0971522,0.0022967817049079765,5
yeast,BR_LogisticRegression,Predict NPV,Fmeasure Score,0.47750360000000003,8.333546663935872e-05,5
yeast,BR_LogisticRegression,Predict NPV,Hamming Accuracy,0.3718734,0.00011227332719749592,5
yeast,BR_LogisticRegression,Predict NPV,Informedness,0.5104908,0.0028461905593265904,5
yeast,BR_LogisticRegression,Predict NPV,Macro F1,0.4281874,0.0005398011670976618,5
yeast,BR_LogisticRegression,Predict NPV,Markedness,0.6546749999999999,0.00042877674843676245,5
yeast,BR_LogisticRegression,Predict NPV,Micro F1,0.4897702,0.00010435132965133984,5
yeast,BR_LogisticRegression,Predict NPV,Negative Predictive Value,0.9846094000000001,0.0007978034219029282,5
yeast,BR_LogisticRegression,Predict NPV,Precision Score,0.3247404,6.128866126782736e-05,5
yeast,BR_LogisticRegression,Predict NPV,Recall Score,0.9965668000000001,0.00019491203143981548,5
yeast,BR_LogisticRegression,Predict NPV,Subset Accuracy,0.0,0.0,5
yeast,BR_LogisticRegression,Predict Precision,Fmeasure Score,0.2950406,0.0012524573046615133,5
yeast,BR_LogisticRegression,Predict Precision,Hamming Accuracy,0.7350474,0.0003465549018554116,5
yeast,BR_LogisticRegression,Predict Precision,Informedness,0.5285846000000001,0.0019309750904659153,5
yeast,BR_LogisticRegression,Predict Precision,Macro F1,0.1558722,0.004072174320924867,5
yeast,BR_LogisticRegression,Predict Precision,Markedness,0.7483335999999999,0.0013107968187327475,5
yeast,BR_LogisticRegression,Predict Precision,Micro F1,0.2917206,0.0009007037803850789,5
yeast,BR_LogisticRegression,Predict Precision,Negative Predictive Value,0.7328332,0.00018539201708808194,5
yeast,BR_LogisticRegression,Predict Precision,Precision Score,0.763837,0.00243556102366574,5
yeast,BR_LogisticRegression,Predict Precision,Recall Score,0.1889266,0.0009529655292821475,5
yeast,BR_LogisticRegression,Predict Precision,Subset Accuracy,0.006205199999999999,0.0004142562009191895,5
yeast,BR_LogisticRegression,Predict Recall,Fmeasure Score,0.4534026,5.770615218484809e-06,5
yeast,BR_LogisticRegression,Predict Recall,Hamming Accuracy,0.302644,3.5355339059264604e-06,5
yeast,BR_LogisticRegression,Predict Recall,Informedness,0.5,0.0,5
yeast,BR_LogisticRegression,Predict Recall,Macro F1,0.42453620000000003,5.727739519218102e-05,5
yeast,BR_LogisticRegression,Predict Recall,Markedness,0.1513218,2.280350850196905e-06,5
yeast,BR_LogisticRegression,Predict Recall,Micro F1,0.4646038,4.974133090297654e-05,5
yeast,BR_LogisticRegression,Predict Recall,Negative Predictive Value,0.0,0.0,5
yeast,BR_LogisticRegression,Predict Recall,Precision Score,0.302644,3.5355339059264604e-06,5
yeast,BR_LogisticRegression,Predict Recall,Recall Score,1.0,0.0,5
yeast,BR_LogisticRegression,Predict Recall,Subset Accuracy,0.0,0.0,5
yeast,BR_LogisticRegression,Predict Subset,Fmeasure Score,0.6068562,0.0011126563710328109,5
yeast,BR_LogisticRegression,Predict Subset,Hamming Accuracy,0.7946322,0.0010481763687471655,5
yeast,BR_LogisticRegression,Predict Subset,Informedness,0.5831506,0.0026171803147662254,5
yeast,BR_LogisticRegression,Predict Subset,Macro F1,0.3859972,0.0015227035824480078,5
yeast,BR_LogisticRegression,Predict Subset,Markedness,0.7616759999999999,0.0008765118367711997,5
yeast,BR_LogisticRegression,Predict Subset,Micro F1,0.6317134,0.0014597159997753043,5
