Dataset,Base Model,Predict Func,Average Precision,Coverage Score,Fmeasure Score,Hamming Accuracy,Informedness,Macro F1,Markedness,Micro F1,Negative Predictive Value,One-Error Score,Precision Score,Ranking Loss Score,Recall Score,Subset Accuracy
yeast,BR_LogisticRegression,Predict Fmeasure,,,64.08 ± 0.09,75.74 ± 0.07,59.61 ± 0.22,45.49 ± 0.28,73.55 ± 0.07,64.85 ± 0.08,87.04 ± 0.05,,60.07 ± 0.13,,74.90 ± 0.16,11.34 ± 0.27
yeast,BR_LogisticRegression,Predict Hamming,,,60.69 ± 0.11,79.46 ± 0.10,58.32 ± 0.26,38.60 ± 0.15,76.17 ± 0.09,63.17 ± 0.15,83.32 ± 0.05,,69.01 ± 0.13,,58.82 ± 0.10,13.98 ± 0.46
yeast,BR_LogisticRegression,Predict Informedness,,,64.00 ± 0.13,76.17 ± 0.08,59.33 ± 0.29,44.73 ± 0.25,73.50 ± 0.11,64.97 ± 0.09,86.81 ± 0.05,,60.20 ± 0.18,,74.06 ± 0.15,10.42 ± 0.39
yeast,BR_LogisticRegression,Predict Markedness,,,54.16 ± 0.16,77.98 ± 0.07,56.59 ± 0.15,33.84 ± 0.31,77.06 ± 0.16,57.00 ± 0.15,80.94 ± 0.08,,73.17 ± 0.31,,49.02 ± 0.21,9.72 ± 0.23
yeast,BR_LogisticRegression,Predict NPV,,,47.75 ± 0.01,37.19 ± 0.01,51.05 ± 0.28,42.82 ± 0.05,65.47 ± 0.04,48.98 ± 0.01,98.46 ± 0.08,,32.47 ± 0.01,,99.66 ± 0.02,0.00 ± 0.00
yeast,BR_LogisticRegression,Predict Precision,,,29.50 ± 0.13,73.50 ± 0.03,52.86 ± 0.19,15.59 ± 0.41,74.83 ± 0.13,29.17 ± 0.09,73.28 ± 0.02,,76.38 ± 0.24,,18.89 ± 0.10,0.62 ± 0.04
yeast,BR_LogisticRegression,Predict Recall,,,45.34 ± 0.00,30.26 ± 0.00,50.00 ± 0.00,42.45 ± 0.01,15.13 ± 0.00,46.46 ± 0.00,0.00 ± 0.00,,30.26 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
yeast,BR_LogisticRegression,Predict Subset,,,60.69 ± 0.11,79.46 ± 0.10,58.32 ± 0.26,38.60 ± 0.15,76.17 ± 0.09,63.17 ± 0.15,83.32 ± 0.05,,69.01 ± 0.13,,58.82 ± 0.10,13.98 ± 0.46
yeast,BR_RandomForestClassifier,Marginal Scores,76.90 ± 0.13,52.71 ± 0.09,,,,,,,,77.18 ± 0.20,,84.16 ± 0.07,,
yeast,BR_RandomForestClassifier,Predict Fmeasure,,,66.66 ± 0.10,76.22 ± 0.11,60.74 ± 0.18,47.37 ± 0.50,74.93 ± 0.08,67.20 ± 0.12,89.55 ± 0.06,,60.31 ± 0.12,,81.39 ± 0.11,12.40 ± 0.28
yeast,BR_RandomForestClassifier,Predict Hamming,,,61.53 ± 0.10,81.12 ± 0.04,57.81 ± 0.18,37.04 ± 0.41,78.75 ± 0.04,64.49 ± 0.09,83.42 ± 0.03,,74.09 ± 0.08,,57.18 ± 0.14,17.13 ± 0.29
yeast,BR_RandomForestClassifier,Predict Informedness,,,66.92 ± 0.08,78.17 ± 0.08,60.29 ± 0.20,45.71 ± 0.46,75.51 ± 0.06,67.89 ± 0.08,88.35 ± 0.04,,62.67 ± 0.14,,77.48 ± 0.17,12.73 ± 0.30
yeast,BR_RandomForestClassifier,Predict Markedness,,,52.78 ± 0.17,79.06 ± 0.05,55.54 ± 0.18,30.56 ± 0.43,78.36 ± 0.07,56.82 ± 0.13,80.59 ± 0.06,,76.13 ± 0.12,,45.67 ± 0.12,11.83 ± 0.31
yeast,BR_RandomForestClassifier,Predict NPV,,,47.74 ± 0.01,37.17 ± 0.02,50.62 ± 0.19,42.65 ± 0.08,65.41 ± 0.06,48.96 ± 0.02,98.35 ± 0.11,,32.47 ± 0.01,,99.65 ± 0.02,0.00 ± 0.00
yeast,BR_RandomForestClassifier,Predict Precision,,,28.80 ± 0.15,73.62 ± 0.03,51.33 ± 0.22,12.30 ± 0.41,75.26 ± 0.11,29.47 ± 0.07,73.34 ± 0.02,,77.18 ± 0.20,,18.11 ± 0.11,0.31 ± 0.06
yeast,BR_RandomForestClassifier,Predict Recall,,,45.34 ± 0.00,30.26 ± 0.00,50.00 ± 0.00,42.45 ± 0.01,15.13 ± 0.00,46.46 ± 0.00,0.00 ± 0.00,,30.26 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
yeast,BR_RandomForestClassifier,Predict Subset,,,61.34 ± 0.10,81.10 ± 0.04,57.74 ± 0.18,36.82 ± 0.41,78.80 ± 0.05,64.31 ± 0.10,83.33 ± 0.04,,74.27 ± 0.08,,56.81 ± 0.14,16.89 ± 0.28
yeast,PCC_AdaBoostClassifier,Marginal Scores,65.74 ± 0.36,31.11 ± 0.97,,,,,,,,70.72 ± 0.74,,73.14 ± 0.46,,
yeast,PCC_AdaBoostClassifier,Predict Fmeasure,,,47.50 ± 0.03,36.42 ± 0.07,50.38 ± 0.36,42.72 ± 0.36,59.29 ± 0.38,48.69 ± 0.03,86.35 ± 0.73,,32.24 ± 0.03,,99.74 ± 0.02,0.00 ± 0.00
yeast,PCC_AdaBoostClassifier,Predict Hamming,,,50.54 ± 0.50,74.94 ± 0.15,56.30 ± 0.20,33.62 ± 0.55,70.85 ± 0.14,52.48 ± 0.53,79.06 ± 0.21,,62.63 ± 0.12,,47.02 ± 0.69,2.57 ± 0.33
yeast,PCC_AdaBoostClassifier,Predict Informedness,,,47.50 ± 0.31,42.90 ± 0.36,52.16 ± 0.17,41.46 ± 0.52,58.38 ± 0.52,48.49 ± 0.28,82.96 ± 0.83,,33.81 ± 0.25,,89.52 ± 0.49,0.11 ± 0.05
yeast,PCC_AdaBoostClassifier,Predict Markedness,,,47.67 ± 0.03,37.72 ± 0.09,50.27 ± 0.18,42.52 ± 0.37,65.64 ± 0.03,48.99 ± 0.02,98.17 ± 0.11,,33.11 ± 0.16,,98.87 ± 0.17,0.00 ± 0.00
yeast,PCC_AdaBoostClassifier,Predict NPV,,,47.76 ± 0.01,37.20 ± 0.01,50.19 ± 0.19,42.54 ± 0.39,65.51 ± 0.06,48.99 ± 0.02,98.54 ± 0.10,,32.48 ± 0.01,,99.68 ± 0.02,0.00 ± 0.00
yeast,PCC_AdaBoostClassifier,Predict Precision,,,26.85 ± 0.30,72.70 ± 0.11,51.94 ± 0.15,14.38 ± 0.35,71.79 ± 0.40,27.01 ± 0.28,72.85 ± 0.06,,70.72 ± 0.74,,17.04 ± 0.21,0.41 ± 0.07
yeast,PCC_AdaBoostClassifier,Predict Recall,,,45.34 ± 0.00,30.26 ± 0.00,50.00 ± 0.00,42.45 ± 0.01,15.13 ± 0.00,46.46 ± 0.00,0.00 ± 0.00,,30.26 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
yeast,PCC_AdaBoostClassifier,Predict Subset,,,42.73 ± 0.98,67.38 ± 0.42,55.55 ± 0.37,32.77 ± 0.93,61.25 ± 0.58,44.65 ± 1.06,76.35 ± 0.43,,46.14 ± 0.74,,45.14 ± 1.28,7.51 ± 0.29
yeast,PCC_LogisticRegression,Marginal Scores,75.94 ± 0.13,50.86 ± 0.11,,,,,,,,76.91 ± 0.23,,82.69 ± 0.07,,
yeast,PCC_LogisticRegression,Predict Fmeasure,,,64.69 ± 0.10,75.83 ± 0.09,60.11 ± 0.20,46.38 ± 0.19,73.89 ± 0.09,65.40 ± 0.10,87.66 ± 0.05,,60.13 ± 0.13,,76.43 ± 0.16,12.67 ± 0.19
yeast,PCC_LogisticRegression,Predict Hamming,,,61.17 ± 0.12,79.84 ± 0.08,58.37 ± 0.28,38.52 ± 0.27,76.58 ± 0.13,63.77 ± 0.14,83.54 ± 0.07,,69.63 ± 0.25,,59.21 ± 0.15,16.22 ± 0.27
yeast,PCC_LogisticRegression,Predict Informedness,,,64.63 ± 0.09,76.63 ± 0.08,59.56 ± 0.20,44.92 ± 0.23,73.94 ± 0.08,65.61 ± 0.08,87.13 ± 0.05,,60.75 ± 0.13,,74.73 ± 0.11,11.87 ± 0.26
yeast,PCC_LogisticRegression,Predict Markedness,,,54.70 ± 0.15,78.15 ± 0.11,56.44 ± 0.26,33.74 ± 0.28,77.51 ± 0.10,57.47 ± 0.19,81.13 ± 0.07,,73.89 ± 0.17,,49.46 ± 0.17,10.94 ± 0.35
yeast,PCC_LogisticRegression,Predict NPV,,,47.74 ± 0.01,37.18 ± 0.02,51.00 ± 0.16,42.78 ± 0.04,65.43 ± 0.06,48.97 ± 0.01,98.39 ± 0.12,,32.47 ± 0.01,,99.64 ± 0.03,0.00 ± 0.00
yeast,PCC_LogisticRegression,Predict Precision,,,29.68 ± 0.15,73.58 ± 0.03,52.73 ± 0.20,15.05 ± 0.42,75.12 ± 0.13,29.37 ± 0.08,73.32 ± 0.02,,76.91 ± 0.23,,19.00 ± 0.13,0.64 ± 0.07
yeast,PCC_LogisticRegression,Predict Recall,,,45.34 ± 0.00,30.26 ± 0.00,50.00 ± 0.00,42.45 ± 0.01,15.13 ± 0.00,46.46 ± 0.00,0.00 ± 0.00,,30.26 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
yeast,PCC_LogisticRegression,Predict Subset,,,61.51 ± 0.11,78.51 ± 0.11,59.48 ± 0.34,41.52 ± 0.27,74.52 ± 0.08,63.48 ± 0.14,83.97 ± 0.06,,65.08 ± 0.10,,62.47 ± 0.12,21.69 ± 0.17
yeast,PCC_RandomForestClassifier,Marginal Scores,77.14 ± 0.06,53.06 ± 0.09,,,,,,,,77.76 ± 0.26,,84.17 ± 0.04,,
yeast,PCC_RandomForestClassifier,Predict Fmeasure,,,66.51 ± 0.13,75.62 ± 0.13,60.43 ± 0.26,47.06 ± 0.44,74.74 ± 0.10,66.91 ± 0.12,89.87 ± 0.06,,59.61 ± 0.20,,82.44 ± 0.20,12.02 ± 0.30
yeast,PCC_RandomForestClassifier,Predict Hamming,,,61.57 ± 0.26,81.09 ± 0.11,57.58 ± 0.16,36.22 ± 0.35,78.75 ± 0.13,64.47 ± 0.25,83.43 ± 0.11,,74.08 ± 0.20,,57.39 ± 0.32,17.76 ± 0.38
yeast,PCC_RandomForestClassifier,Predict Informedness,,,67.01 ± 0.21,78.22 ± 0.15,60.02 ± 0.34,45.15 ± 0.64,75.53 ± 0.17,67.95 ± 0.22,88.35 ± 0.12,,62.72 ± 0.23,,77.58 ± 0.28,13.35 ± 0.31
yeast,PCC_RandomForestClassifier,Predict Markedness,,,55.10 ± 0.27,79.32 ± 0.15,55.45 ± 0.26,30.94 ± 0.63,78.74 ± 0.12,58.38 ± 0.37,81.17 ± 0.15,,76.30 ± 0.19,,48.20 ± 0.37,12.71 ± 0.38
yeast,PCC_RandomForestClassifier,Predict NPV,,,47.76 ± 0.01,37.19 ± 0.02,50.43 ± 0.25,42.59 ± 0.17,65.49 ± 0.06,48.98 ± 0.01,98.51 ± 0.11,,32.48 ± 0.01,,99.68 ± 0.02,0.00 ± 0.00
yeast,PCC_RandomForestClassifier,Predict Precision,,,29.23 ± 0.12,73.70 ± 0.04,51.48 ± 0.22,11.95 ± 0.39,75.57 ± 0.14,29.69 ± 0.10,73.39 ± 0.02,,77.76 ± 0.26,,18.47 ± 0.09,0.44 ± 0.09
yeast,PCC_RandomForestClassifier,Predict Recall,,,45.34 ± 0.00,30.26 ± 0.00,50.00 ± 0.00,42.45 ± 0.01,15.13 ± 0.00,46.46 ± 0.00,0.00 ± 0.00,,30.26 ± 0.00,,100.00 ± 0.00,0.00 ± 0.00
yeast,PCC_RandomForestClassifier,Predict Subset,,,65.07 ± 0.20,80.81 ± 0.10,59.04 ± 0.29,40.08 ± 0.64,77.51 ± 0.12,66.90 ± 0.18,85.14 ± 0.08,,69.88 ± 0.19,,65.09 ± 0.21,26.51 ± 0.67
