Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
flags,PCC_LogisticRegression,Predict Precision,Micro F1,0.334476,1,lr
flags,PCC_LogisticRegression,Predict NPV,Hamming Accuracy,0.598232,1,lr
flags,PCC_LogisticRegression,Predict NPV,Subset Accuracy,0.036315,1,lr
flags,PCC_LogisticRegression,Predict NPV,Precision Score,0.548377,1,lr
flags,PCC_LogisticRegression,Predict NPV,Negative Predictive Value,0.89737,1,lr
flags,PCC_LogisticRegression,Predict NPV,Recall Score,0.975007,1,lr
flags,PCC_LogisticRegression,Predict NPV,Markedness,0.722874,1,lr
flags,PCC_LogisticRegression,Predict NPV,Fmeasure Score,0.683821,1,lr
flags,PCC_LogisticRegression,Predict NPV,Informedness,0.537234,1,lr
flags,PCC_LogisticRegression,Predict NPV,Macro F1,0.637968,1,lr
flags,PCC_LogisticRegression,Predict NPV,Micro F1,0.699676,1,lr
flags,PCC_LogisticRegression,Predict Recall,Hamming Accuracy,0.4847,1,lr
flags,PCC_LogisticRegression,Predict Recall,Subset Accuracy,0.01,1,lr
flags,PCC_LogisticRegression,Predict Recall,Precision Score,0.4847,1,lr
flags,PCC_LogisticRegression,Predict Recall,Negative Predictive Value,0.01,1,lr
flags,PCC_LogisticRegression,Predict Recall,Recall Score,1.0,1,lr
flags,PCC_LogisticRegression,Predict Recall,Markedness,0.247348,1,lr
flags,PCC_LogisticRegression,Predict Recall,Fmeasure Score,0.636587,1,lr
flags,PCC_LogisticRegression,Predict Recall,Informedness,0.5,1,lr
flags,PCC_LogisticRegression,Predict Recall,Macro F1,0.613148,1,lr
flags,PCC_LogisticRegression,Predict Recall,Micro F1,0.652092,1,lr
flags,PCC_LogisticRegression,Predict Markedness,Hamming Accuracy,0.715602,1,lr
flags,PCC_LogisticRegression,Predict Markedness,Subset Accuracy,0.097631,1,lr
flags,PCC_LogisticRegression,Predict Markedness,Precision Score,0.683321,1,lr
flags,PCC_LogisticRegression,Predict Markedness,Negative Predictive Value,0.785479,1,lr
flags,PCC_LogisticRegression,Predict Markedness,Recall Score,0.713109,1,lr
flags,PCC_LogisticRegression,Predict Markedness,Markedness,0.7344,1,lr
flags,PCC_LogisticRegression,Predict Markedness,Fmeasure Score,0.663861,1,lr
flags,PCC_LogisticRegression,Predict Markedness,Informedness,0.634546,1,lr
flags,PCC_LogisticRegression,Predict Markedness,Macro F1,0.640689,1,lr
flags,PCC_LogisticRegression,Predict Markedness,Micro F1,0.720233,1,lr
flags,PCC_LogisticRegression,Predict Fmeasure,Hamming Accuracy,0.704774,1,lr
flags,PCC_LogisticRegression,Predict Fmeasure,Subset Accuracy,0.087893,1,lr
flags,PCC_LogisticRegression,Predict Fmeasure,Precision Score,0.635398,1,lr
