Dataset,Model,Predict Function of Model,Metric Function,Score,Seed,Estimator Tag
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Precision Score,0.673283,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Negative Predictive Value,0.760306,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Recall Score,0.668833,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Markedness,0.716794,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Fmeasure Score,0.642242,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Informedness,0.589816,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Macro F1,0.544965,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Hamming,Micro F1,0.66763,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Subset,Hamming Accuracy,0.710601,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Subset,Subset Accuracy,0.196526,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Subset,Precision Score,0.673283,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Subset,Negative Predictive Value,0.760306,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Subset,Recall Score,0.668833,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Subset,Markedness,0.716794,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Subset,Fmeasure Score,0.642242,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Subset,Informedness,0.589816,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Subset,Macro F1,0.544965,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Subset,Micro F1,0.66763,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Precision,Hamming Accuracy,0.648907,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Precision,Subset Accuracy,0.032403,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Precision,Precision Score,0.737077,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Precision,Negative Predictive Value,0.631272,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Precision,Recall Score,0.293766,1,adaboost
CHD_49,BR_AdaBoostClassifier,Predict Precision,Markedness,0.684175,1,adaboost
